--------[before begin]--------
CPU(0x00): vcpu->vmcs.guest_FS_base=0x00007faec83dd700
CPU(0x00): vcpu->vmcs.guest_GS_base=0xffff9e70f4000000
CPU(0x00): vcpu->vmcs.guest_LDTR_base=0x0000000000000000
CPU(0x00): vcpu->vmcs.guest_TR_base=0xfffffe0000003000
CPU(0x00): vcpu->vmcs.guest_GDTR_base=0xfffffe0000001000
CPU(0x00): vcpu->vmcs.guest_IDTR_base=0xfffffe0000000000
CPU(0x00): vcpu->vmcs.guest_DR7=0x0000000000000400
CPU(0x00): vcpu->vmcs.guest_RSP=0xffffc178025fba60
CPU(0x00): vcpu->vmcs.guest_RIP=0xffffc17802659c50
CPU(0x00): vcpu->vmcs.guest_RFLAGS=0x0000000000000002
CPU(0x00): vcpu->vmcs.guest_pending_debug_x=0x0000000000000000
CPU(0x00): vcpu->vmcs.guest_SYSENTER_ESP=0xfffffe0000003000
CPU(0x00): vcpu->vmcs.guest_SYSENTER_EIP=0xffffffff9b801680
CPU(0x00): vcpu->vmcs.guest_ES_limit=0xffffffff
CPU(0x00): vcpu->vmcs.guest_CS_limit=0xffffffff
CPU(0x00): vcpu->vmcs.guest_SS_limit=0xffffffff
CPU(0x00): vcpu->vmcs.guest_DS_limit=0xffffffff
CPU(0x00): vcpu->vmcs.guest_FS_limit=0xffffffff
CPU(0x00): vcpu->vmcs.guest_GS_limit=0xffffffff
CPU(0x00): vcpu->vmcs.guest_LDTR_limit=0xffffffff
CPU(0x00): vcpu->vmcs.guest_TR_limit=0x00004087
CPU(0x00): vcpu->vmcs.guest_GDTR_limit=0x0000007f
CPU(0x00): vcpu->vmcs.guest_IDTR_limit=0x00000fff
CPU(0x00): vcpu->vmcs.guest_ES_access_rights=0x0001c000
CPU(0x00): vcpu->vmcs.guest_CS_access_rights=0x0000a09b
CPU(0x00): vcpu->vmcs.guest_SS_access_rights=0x0000c093
CPU(0x00): vcpu->vmcs.guest_DS_access_rights=0x0001c000
CPU(0x00): vcpu->vmcs.guest_FS_access_rights=0x0001c000
CPU(0x00): vcpu->vmcs.guest_GS_access_rights=0x0001c000
CPU(0x00): vcpu->vmcs.guest_LDTR_access_rights=0x0001c000
CPU(0x00): vcpu->vmcs.guest_TR_access_rights=0x0000008b
CPU(0x00): vcpu->vmcs.guest_interruptibility=0x00000000
CPU(0x00): vcpu->vmcs.guest_activity_state=0x00000000
CPU(0x00): vcpu->vmcs.guest_SYSENTER_CS=0x00000010
CPU(0x00): vcpu->vmcs.guest_ES_selector=0x0000
CPU(0x00): vcpu->vmcs.guest_CS_selector=0x0010
CPU(0x00): vcpu->vmcs.guest_SS_selector=0x0018
CPU(0x00): vcpu->vmcs.guest_DS_selector=0x0000
CPU(0x00): vcpu->vmcs.guest_FS_selector=0x0000
CPU(0x00): vcpu->vmcs.guest_GS_selector=0x0000
CPU(0x00): vcpu->vmcs.guest_LDTR_selector=0x0000
CPU(0x00): vcpu->vmcs.guest_TR_selector=0x0040
CPU(0x00): vcpu->vmcs.guest_VMCS_link_pointer=0xffffffffffffffff
CPU(0x00): vcpu->vmcs.guest_IA32_DEBUGCTL=0x0000000000000000
CPU(0x00): vcpu->vmcs.guest_paddr=0x00000000fee00300
CPU(0x00): vcpu->vmcs.guest_PDPTE0=0x0000008000010000
CPU(0x00): vcpu->vmcs.guest_PDPTE1=0x0000008000000000
CPU(0x00): vcpu->vmcs.guest_PDPTE2=0x0000004000000000
CPU(0x00): vcpu->vmcs.guest_PDPTE3=0x0000000690001000
CPU(0x00): vcpu->vmcs.info_vminstr_error=0x0000000c
CPU(0x00): vcpu->vmcs.info_vmexit_reason=0x00000018
CPU(0x00): vcpu->vmcs.info_vmexit_interrupt_information=0x00000000
CPU(0x00): vcpu->vmcs.info_vmexit_interrupt_error_code=0x00000000
CPU(0x00): vcpu->vmcs.info_IDT_vectoring_information=0x00000000
CPU(0x00): vcpu->vmcs.info_IDT_vectoring_error_code=0x00000000
CPU(0x00): vcpu->vmcs.info_vmexit_instruction_length=0x00000003
CPU(0x00): vcpu->vmcs.info_vmx_instruction_information=0x00000000
CPU(0x00): vcpu->vmcs.info_exit_qualification=0x0000000000000000
CPU(0x00): vcpu->vmcs.info_guest_linear_address=0x000000000045b000
CPU(0x00): vcpu->vmx_nested_is_vmx_operation=0x00000001
CPU(0x00): vcpu->vmx_nested_vmxon_pointer=0x0000000040e31000
CPU(0x00): vcpu->vmx_nested_is_vmx_root_operation=0x00000000
CPU(0x00): vcpu->vmx_nested_cur_vmcs12=0x00000000
CPU(0x00): vcpu->vmx_nested_msrs[0]=0x00d810000000000f
CPU(0x00): vcpu->vmx_nested_msrs[1]=0x0000007f00000016
CPU(0x00): vcpu->vmx_nested_msrs[2]=0xfff9fffe0401e172
CPU(0x00): vcpu->vmx_nested_msrs[3]=0x0073ffff00036dff
CPU(0x00): vcpu->vmx_nested_msrs[4]=0x0000bfff000011ff
CPU(0x00): vcpu->vmx_nested_msrs[5]=0x00000000000401e7
CPU(0x00): vcpu->vmx_nested_msrs[6]=0x0000000080000021
CPU(0x00): vcpu->vmx_nested_msrs[7]=0x00000000ffffffff
CPU(0x00): vcpu->vmx_nested_msrs[8]=0x0000000000002000
CPU(0x00): vcpu->vmx_nested_msrs[9]=0x00000000000267ff
CPU(0x00): vcpu->vmx_nested_msrs[a]=0x000000000000002a
CPU(0x00): vcpu->vmx_nested_msrs[b]=0x000000ff00000000
CPU(0x00): vcpu->vmx_nested_msrs[c]=0x00000f0106104141
CPU(0x00): vcpu->vmx_nested_msrs[d]=0x0000007f00000016
CPU(0x00): vcpu->vmx_nested_msrs[e]=0xfff9fffe04006172
CPU(0x00): vcpu->vmx_nested_msrs[f]=0x007fffff00036dfb
CPU(0x00): vcpu->vmx_nested_msrs[10]=0x0000ffff000011fb
CPU(0x00): vcpu->vmx_nested_msrs[11]=0x0000000000000000
CPU(0x00): vcpu->vmx_nested_pinbased_ctls=0x0000007f00000016
CPU(0x00): vcpu->vmx_nested_procbased_ctls=0xfff9fffe04006172
CPU(0x00): vcpu->vmx_nested_exit_ctls=0x007fffff00036dfb
CPU(0x00): vcpu->vmx_nested_entry_ctls=0x0000ffff000011fb
CPU(0x00): :vmcs12:control_vpid = 0x0007
CPU(0x00): :vmcs12:control_post_interrupt_notification_vec = 0x0000
CPU(0x00): :vmcs12:control_eptp_index = 0x0000
CPU(0x00): :vmcs12:guest_ES_selector = 0x0018
CPU(0x00): :vmcs12:guest_CS_selector = 0x0010
CPU(0x00): :vmcs12:guest_SS_selector = 0x0018
CPU(0x00): :vmcs12:guest_DS_selector = 0x0018
CPU(0x00): :vmcs12:guest_FS_selector = 0x0018
CPU(0x00): :vmcs12:guest_GS_selector = 0x0018
CPU(0x00): :vmcs12:guest_LDTR_selector = 0x0000
CPU(0x00): :vmcs12:guest_TR_selector = 0x0008
CPU(0x00): :vmcs12:guest_interrupt_status = 0x0000
CPU(0x00): :vmcs12:guest_PML_index = 0x0000
CPU(0x00): :vmcs12:host_ES_selector = 0x0000
CPU(0x00): :vmcs12:host_CS_selector = 0x0010
CPU(0x00): :vmcs12:host_SS_selector = 0x0018
CPU(0x00): :vmcs12:host_DS_selector = 0x0000
CPU(0x00): :vmcs12:host_FS_selector = 0x0000
CPU(0x00): :vmcs12:host_GS_selector = 0x0000
CPU(0x00): :vmcs12:host_TR_selector = 0x0040
CPU(0x00): :vmcs12:control_IO_BitmapA_address = 0x0000000000000000
CPU(0x00): :vmcs12:control_IO_BitmapB_address = 0x0000000000000000
CPU(0x00): :vmcs12:control_MSR_Bitmaps_address = 0x0000000040e30000
CPU(0x00): :vmcs12:control_VM_exit_MSR_store_address = 0x0000000040e2e000
CPU(0x00): :vmcs12:control_VM_exit_MSR_load_address = 0x0000000040e2f000
CPU(0x00): :vmcs12:control_VM_entry_MSR_load_address = 0x0000000040e2e000
CPU(0x00): :vmcs12:control_Executive_VMCS_pointer = 0x0000000000000000
CPU(0x00): :vmcs12:control_PML_address = 0x0000000000000000
CPU(0x00): :vmcs12:control_TSC_offset = 0xffffffdbc23fb693
CPU(0x00): :vmcs12:control_virtual_APIC_address = 0x0000000041103000
CPU(0x00): :vmcs12:control_APIC_access_address = 0x0000000040e2c000
CPU(0x00): :vmcs12:control_posted_interrupt_desc_address = 0x0000000000000000
CPU(0x00): :vmcs12:control_VM_function_controls = 0x0000000000000000
CPU(0x00): :vmcs12:control_EPT_pointer = 0x0000000040c0501e
CPU(0x00): :vmcs12:control_EOI_exit_bitmap_0 = 0x0000000000000000
CPU(0x00): :vmcs12:control_EOI_exit_bitmap_1 = 0x0000000000000000
CPU(0x00): :vmcs12:control_EOI_exit_bitmap_2 = 0x0000000000000000
CPU(0x00): :vmcs12:control_EOI_exit_bitmap_3 = 0x0000000000000000
CPU(0x00): :vmcs12:control_EPTP_list_address = 0x0000000000000000
CPU(0x00): :vmcs12:control_VMREAD_bitmap_address = 0x0000000000000000
CPU(0x00): :vmcs12:control_VMWRITE_bitmap_address = 0x0000000000000000
CPU(0x00): :vmcs12:control_virt_exception_info_address = 0x0000000000000000
CPU(0x00): :vmcs12:control_XSS_exiting_bitmap = 0x0000000000000000
CPU(0x00): :vmcs12:control_ENCLS_exiting_bitmap = 0x0000000000000000
CPU(0x00): :vmcs12:control_subpage_permission_table_pointer = 0x0000000000000000
CPU(0x00): :vmcs12:control_TSC_multiplier = 0x0000000000000000
CPU(0x00): :vmcs12:control_tertiary_proc_based_VMexec_ctls = 0x0000000000000000
CPU(0x00): :vmcs12:control_ENCLV_exiting_bitmap = 0x0000000000000000
CPU(0x00): :vmcs12:guest_paddr = 0x000000000045b000
CPU(0x00): :vmcs12:guest_VMCS_link_pointer = 0xffffffffffffffff
CPU(0x00): :vmcs12:guest_IA32_DEBUGCTL = 0x0000000000000000
CPU(0x00): :vmcs12:guest_IA32_PAT = 0x0000000000000000
CPU(0x00): :vmcs12:guest_IA32_EFER = 0x0000000000000000
CPU(0x00): :vmcs12:guest_IA32_PERF_GLOBAL_CTRL = 0x0000000000000000
CPU(0x00): :vmcs12:guest_PDPTE0 = 0x0000008000010000
CPU(0x00): :vmcs12:guest_PDPTE1 = 0x0000008000000000
CPU(0x00): :vmcs12:guest_PDPTE2 = 0x0000004000000000
CPU(0x00): :vmcs12:guest_PDPTE3 = 0x0000000690001000
CPU(0x00): :vmcs12:guest_IA32_BNDCFGS = 0x0000000000000000
CPU(0x00): :vmcs12:guest_IA32_RTIT_CTL = 0x0000000000000000
CPU(0x00): :vmcs12:guest_IA32_PKRS = 0x0000000000000000
CPU(0x00): :vmcs12:host_IA32_PAT = 0x0000000000000000
CPU(0x00): :vmcs12:host_IA32_EFER = 0x0000000000000d01
CPU(0x00): :vmcs12:host_IA32_PERF_GLOBAL_CTRL = 0x0000000000000000
CPU(0x00): :vmcs12:host_IA32_PKRS = 0x0000000000000000
CPU(0x00): :vmcs12:control_VMX_pin_based = 0x0000007f
CPU(0x00): :vmcs12:control_VMX_cpu_based = 0xb5a0edfe
CPU(0x00): :vmcs12:control_exception_bitmap = 0x00030002
CPU(0x00): :vmcs12:control_pagefault_errorcode_mask = 0x00000000
CPU(0x00): :vmcs12:control_pagefault_errorcode_match = 0x00000000
CPU(0x00): :vmcs12:control_CR3_target_count = 0x00000000
CPU(0x00): :vmcs12:control_VM_exit_controls = 0x00436fff
CPU(0x00): :vmcs12:control_VM_exit_MSR_store_count = 0x00000001
CPU(0x00): :vmcs12:control_VM_exit_MSR_load_count = 0x00000001
CPU(0x00): :vmcs12:control_VM_entry_controls = 0x000011ff
CPU(0x00): :vmcs12:control_VM_entry_MSR_load_count = 0x00000001
CPU(0x00): :vmcs12:control_VM_entry_interruption_information = 0x00000008
CPU(0x00): :vmcs12:control_VM_entry_exception_errorcode = 0x00000000
CPU(0x00): :vmcs12:control_VM_entry_instruction_length = 0x00000000
CPU(0x00): :vmcs12:control_Task_PRivilege_Threshold = 0x00000000
CPU(0x00): :vmcs12:control_VMX_seccpu_based = 0x000000eb
CPU(0x00): :vmcs12:control_PLE_gap = 0x00000000
CPU(0x00): :vmcs12:control_PLE_window = 0x00000000
CPU(0x00): :vmcs12:info_vminstr_error = 0x00000000
CPU(0x00): :vmcs12:info_vmexit_reason = 0x0000001c
CPU(0x00): :vmcs12:info_vmexit_interrupt_information = 0x00000000
CPU(0x00): :vmcs12:info_vmexit_interrupt_error_code = 0x00000000
CPU(0x00): :vmcs12:info_IDT_vectoring_information = 0x00000000
CPU(0x00): :vmcs12:info_IDT_vectoring_error_code = 0x00000000
CPU(0x00): :vmcs12:info_vmexit_instruction_length = 0x00000003
CPU(0x00): :vmcs12:info_vmx_instruction_information = 0x00000000
CPU(0x00): :vmcs12:guest_ES_limit = 0xffffffff
CPU(0x00): :vmcs12:guest_CS_limit = 0xffffffff
CPU(0x00): :vmcs12:guest_SS_limit = 0xffffffff
CPU(0x00): :vmcs12:guest_DS_limit = 0xffffffff
CPU(0x00): :vmcs12:guest_FS_limit = 0xffffffff
CPU(0x00): :vmcs12:guest_GS_limit = 0xffffffff
CPU(0x00): :vmcs12:guest_LDTR_limit = 0x0000ffff
CPU(0x00): :vmcs12:guest_TR_limit = 0x00000067
CPU(0x00): :vmcs12:guest_GDTR_limit = 0x0000004f
CPU(0x00): :vmcs12:guest_IDTR_limit = 0x000007ff
CPU(0x00): :vmcs12:guest_ES_access_rights = 0x0000c093
CPU(0x00): :vmcs12:guest_CS_access_rights = 0x0000c09b
CPU(0x00): :vmcs12:guest_SS_access_rights = 0x0000c093
CPU(0x00): :vmcs12:guest_DS_access_rights = 0x0000c093
CPU(0x00): :vmcs12:guest_FS_access_rights = 0x0000c093
CPU(0x00): :vmcs12:guest_GS_access_rights = 0x0000c093
CPU(0x00): :vmcs12:guest_LDTR_access_rights = 0x00000082
CPU(0x00): :vmcs12:guest_TR_access_rights = 0x0000008b
CPU(0x00): :vmcs12:guest_interruptibility = 0x00000000
CPU(0x00): :vmcs12:guest_activity_state = 0x00000000
CPU(0x00): :vmcs12:guest_SMBASE = 0x00000000
CPU(0x00): :vmcs12:guest_SYSENTER_CS = 0x00000000
CPU(0x00): :vmcs12:guest_VMX_preemption_timer_value = 0x000131d7
CPU(0x00): :vmcs12:host_SYSENTER_CS = 0x00000010
CPU(0x00): :vmcs12:control_CR0_mask = 0xfffffffffffafff1
CPU(0x00): :vmcs12:control_CR4_mask = 0xfffffffffffff8b1
CPU(0x00): :vmcs12:control_CR0_shadow = 0x0000000000000015
CPU(0x00): :vmcs12:control_CR4_shadow = 0x0000000000000000
CPU(0x00): :vmcs12:control_CR3_target0 = 0x0000000000000000
CPU(0x00): :vmcs12:control_CR3_target1 = 0x0000000000000000
CPU(0x00): :vmcs12:control_CR3_target2 = 0x0000000000000000
CPU(0x00): :vmcs12:control_CR3_target3 = 0x0000000000000000
CPU(0x00): :vmcs12:info_exit_qualification = 0x0000000000000000
CPU(0x00): :vmcs12:info_IO_RCX = 0x0000000000000000
CPU(0x00): :vmcs12:info_IO_RSI = 0x0000000000000000
CPU(0x00): :vmcs12:info_IO_RDI = 0x0000000000000000
CPU(0x00): :vmcs12:info_IO_RIP = 0x0000000000000000
CPU(0x00): :vmcs12:info_guest_linear_address = 0x000000000045b000
CPU(0x00): :vmcs12:guest_CR0 = 0x0000000000000035
CPU(0x00): :vmcs12:guest_CR3 = 0x0000000000456000
CPU(0x00): :vmcs12:guest_CR4 = 0x0000000000002000
CPU(0x00): :vmcs12:guest_ES_base = 0x0000000000000000
CPU(0x00): :vmcs12:guest_CS_base = 0x0000000000000000
CPU(0x00): :vmcs12:guest_SS_base = 0x0000000000000000
CPU(0x00): :vmcs12:guest_DS_base = 0x0000000000000000
CPU(0x00): :vmcs12:guest_FS_base = 0x0000000000000000
CPU(0x00): :vmcs12:guest_GS_base = 0x0000000000000000
CPU(0x00): :vmcs12:guest_LDTR_base = 0x0000000000000000
CPU(0x00): :vmcs12:guest_TR_base = 0x0000000000100950
CPU(0x00): :vmcs12:guest_GDTR_base = 0x0000000000100900
CPU(0x00): :vmcs12:guest_IDTR_base = 0x0000000000100100
CPU(0x00): :vmcs12:guest_DR7 = 0x0000000000000400
CPU(0x00): :vmcs12:guest_RSP = 0x00000000003d8010
CPU(0x00): :vmcs12:guest_RIP = 0x000000000010ccfa
CPU(0x00): :vmcs12:guest_RFLAGS = 0x0000000000200016
CPU(0x00): :vmcs12:guest_pending_debug_x = 0x0000000000000000
CPU(0x00): :vmcs12:guest_SYSENTER_ESP = 0x0000000000000000
CPU(0x00): :vmcs12:guest_SYSENTER_EIP = 0x0000000000000000
CPU(0x00): :vmcs12:guest_IA32_S_CET = 0x0000000000000000
CPU(0x00): :vmcs12:guest_SSP = 0x0000000000000000
CPU(0x00): :vmcs12:guest_IA32_INTERRUPT_SSP_TABLE_ADDR = 0x0000000000000000
CPU(0x00): :vmcs12:host_CR0 = 0x0000000080050033
CPU(0x00): :vmcs12:host_CR3 = 0x0000000025338006
CPU(0x00): :vmcs12:host_CR4 = 0x00000000000226f0
CPU(0x00): :vmcs12:host_FS_base = 0x00007faec83dd700
CPU(0x00): :vmcs12:host_GS_base = 0xffff9e70f4000000
CPU(0x00): :vmcs12:host_TR_base = 0xfffffe0000003000
CPU(0x00): :vmcs12:host_GDTR_base = 0xfffffe0000001000
CPU(0x00): :vmcs12:host_IDTR_base = 0xfffffe0000000000
CPU(0x00): :vmcs12:host_SYSENTER_ESP = 0xfffffe0000003000
CPU(0x00): :vmcs12:host_SYSENTER_EIP = 0xffffffff9b801680
CPU(0x00): :vmcs12:host_RSP = 0xffffc178025fba60
CPU(0x00): :vmcs12:host_RIP = 0xffffc17802659c50
CPU(0x00): :vmcs12:host_IA32_S_CET = 0x0000000000000000
CPU(0x00): :vmcs12:host_SSP = 0x0000000000000000
CPU(0x00): :vmcs12:host_IA32_INTERRUPT_SSP_TABLE_ADDR = 0x0000000000000000
CPU(0x00): (0x0000) :vmcs02:control_vpid = 0x0007
CPU(0x00): (0x0002) :vmcs02:control_post_interrupt_notification_vec = unavailable
CPU(0x00): (0x0004) :vmcs02:control_eptp_index = unavailable
CPU(0x00): (0x0800) :vmcs02:guest_ES_selector = 0x0018
CPU(0x00): (0x0802) :vmcs02:guest_CS_selector = 0x0010
CPU(0x00): (0x0804) :vmcs02:guest_SS_selector = 0x0018
CPU(0x00): (0x0806) :vmcs02:guest_DS_selector = 0x0018
CPU(0x00): (0x0808) :vmcs02:guest_FS_selector = 0x0018
CPU(0x00): (0x080a) :vmcs02:guest_GS_selector = 0x0018
CPU(0x00): (0x080c) :vmcs02:guest_LDTR_selector = 0x0000
CPU(0x00): (0x080e) :vmcs02:guest_TR_selector = 0x0008
CPU(0x00): (0x0810) :vmcs02:guest_interrupt_status = unavailable
CPU(0x00): (0x0812) :vmcs02:guest_PML_index = unavailable
